Region Forestal,Ejidal Pino (m3),Ejidal Latifoliado (m3),Nacional Pino (m3),Nacional Latifoliado (m3),Privado Pino (m3),Privado Latifoliado (m3)
Atlantida,0,3,1512,735,2488,4248
Comayagua,1115,0,0,0,2934,0
El Paraiso,102,0,3112,75,9129,0
Francisco Morazan,4874,0,919,0,12731,0
Noreste Olancho,0,0,518,0,2648,0
La Mosquitia,0,0,0,0,0,0
Noroccidente,0,0,3245,6,6854,2803
Occidente,103,0,484,3,1829,69
Olancho,15900,0,6230,0,100751,0
El Pacifico,0,0,720,6,6461,768
Rio Platano,0,0,0,0,0,0
Yoro,2492,0,17325,98,42187,451
