Edades,Total Nacional,Total Hombre,Total Mujer,Total Urbana,Hombre Urbana,Mujer Urbana,Total Rural,Hombre Rural,Mujer Rural
Total,8714641,4132729,4581913,4715844,2172642,2543202,3998797,1960087,2038710
De 00 - 04 Años,931723,467508,464216,457984,227982,230003,473739,239526,234213
De 05 - 09 Años,921236,465486,455750,462705,228855,233850,458531,236631,221901
De 10 - 11 Años,361239,180786,180454,164497,84930,79566,196742,95855,100887
De 12 - 14 Años,551043,274821,276222,254903,127524,127379,296140,147297,148843
De 15 - 18 Años,854711,427582,427129,435955,215885,220070,418756,211697,207059
De 19 - 24 Años,1056688,502246,554442,616006,285039,330967,440681,217206,223475
De 25 - 29 Años,659344,296566,362778,381279,166557,214722,278065,130009,148056
De 30 - 34 Años,579894,262709,317184,337922,151140,186782,241971,111569,130403
De 35 - 39 Años,500554,217266,283287,276769,116604,160165,223784,100662,123122
De 40 - 44 Años,453693,195535,258158,245847,96757,149091,207846,98779,109067
De 45 - 49 Años,385072,174818,210254,231900,99736,132164,153172,75082,78090
De 50 - 54 Años,348576,156143,192432,205467,89944,115523,143108,66199,76909
De 55 - 59 Años,294529,135704,158825,174471,79765,94706,120058,55939,64119
De 60 - 64 Años,244808,119522,125286,131018,62458,68560,113790,57063,56726
De 65 y mas Años,571533,256038,315495,339119,139466,199654,232414,116572,115842
