"Ano","Mes","Descripcion","Importe"
"2019","9","INGRESOS TOTALES","85916.84"
"2019","9","INGRESOS CORRIENTES","84165.92"
"2019","9","INGRESOS TRIBUTARIOS","80347.6"
"2019","9","D/C TASA DE SEGURIDAD","2037.05"
"2019","9","INGRESOS NO TRIBUTARIOS","3818.32"
"2019","9","D/C INGRESOS RECIBIDOS POR INTERESES (ENEE)","0"
"2019","9","INGRESOS POR APP","0"
"2019","9","DONACIONES","1750.91"
"2019","9","GASTO CORRIENTE","72459.38"
"2019","9","GASTO DE CONSUMO","42222.73"
"2019","9","SUELDOS Y SALARIOS","29396.9"
"2019","9","APORTES PATRONALES","3937.57"
"2019","9","BIENES Y SERVICIOS","8888.25"
"2019","9","COMISIONES","956.48"
"2019","9","INTERNOS","728.42"
"2019","9","EXTERNOS","228.05"
"2019","9","INTERESES DEUDA","12198.62"
"2019","9","INTERNOS","7668.15"
"2019","9","EXTERNOS","4530.47"
"2019","9","TRANSFERENCIAS","17081.56"
"2019","9","AHORRO EN CUENTA CORRIENTE","11706.54"
"2019","9","GASTO DE CAPITAL","19653.57"
"2019","9","INVERSI\u00F3N","7320.41"
"2019","9","TRANSFERENCIAS","12333.17"
"2019","9","TOTAL GASTOS NETOS","92112.95"
"2019","9","BALANCE","-6196.12"
"2019","9","FINANCIAMIENTOA/","6196.12"
"2019","9","PRODUCTO INTERNO BRUTO","609769.41"
"2019","9","BALANCE GLOBAL NETO / PIB (%)","-1.02"
"2019","8","INGRESOS TOTALES","73488.14"
"2019","8","INGRESOS CORRIENTES","71794.56"
"2019","8","INGRESOS TRIBUTARIOS","68399.66"
"2019","8","D/C TASA DE SEGURIDAD","1818.82"
"2019","8","INGRESOS NO TRIBUTARIOS","3394.9"
"2019","8","D/C INGRESOS RECIBIDOS POR INTERESES (ENEE)","0"
"2019","8","INGRESOS POR APP","0"
"2019","8","DONACIONES","1693.59"
"2019","8","GASTO CORRIENTE","63976.19"
"2019","8","GASTO DE CONSUMO","37608.02"
"2019","8","SUELDOS Y SALARIOS","26240.36"
"2019","8","APORTES PATRONALES","3469.63"
"2019","8","BIENES Y SERVICIOS","7898.02"
"2019","8","COMISIONES","857.88"
"2019","8","INTERNOS","649.55"
"2019","8","EXTERNOS","208.33"
"2019","8","INTERESES DEUDA","10710.03"
"2019","8","INTERNOS","6778.43"
"2019","8","EXTERNOS","3931.6"
"2019","8","TRANSFERENCIAS","14800.26"
"2019","8","AHORRO EN CUENTA CORRIENTE","7818.37"
"2019","8","GASTO DE CAPITAL","17422.33"
"2019","8","INVERSI\u00F3N","6531.03"
"2019","8","TRANSFERENCIAS","10891.29"
"2019","8","TOTAL GASTOS NETOS","81398.51"
"2019","8","BALANCE","-7910.37"
"2019","8","FINANCIAMIENTOA/","7910.37"
"2019","8","PRODUCTO INTERNO BRUTO","609769.41"
"2019","8","BALANCE GLOBAL NETO / PIB (%)","-1.3"
"2019","7","INGRESOS TOTALES","65765.02"
"2019","7","INGRESOS CORRIENTES","64148.53"
"2019","7","INGRESOS TRIBUTARIOS","61067.05"
"2019","7","D/C TASA DE SEGURIDAD","1594.79"
"2019","7","INGRESOS NO TRIBUTARIOS","3081.48"
"2019","7","D/C INGRESOS RECIBIDOS POR INTERESES (ENEE)","0"
"2019","7","INGRESOS POR APP","0"
"2019","7","DONACIONES","1616.49"
"2019","7","GASTO CORRIENTE","55589.87"
"2019","7","GASTO DE CONSUMO","33069.13"
"2019","7","SUELDOS Y SALARIOS","23205.16"
"2019","7","APORTES PATRONALES","2936.89"
"2019","7","BIENES Y SERVICIOS","6927.08"
"2019","7","COMISIONES","723.38"
"2019","7","INTERNOS","571.37"
"2019","7","EXTERNOS","152.02"
"2019","7","INTERESES DEUDA","9300.43"
"2019","7","INTERNOS","5560.6"
"2019","7","EXTERNOS","3739.84"
"2019","7","TRANSFERENCIAS","12496.92"
"2019","7","AHORRO EN CUENTA CORRIENTE","8558.66"
"2019","7","GASTO DE CAPITAL","15138.5"
"2019","7","INVERSI\u00F3N","5664.89"
"2019","7","TRANSFERENCIAS","9473.61"
"2019","7","TOTAL GASTOS NETOS","70728.37"
"2019","7","BALANCE","-4963.35"
"2019","7","FINANCIAMIENTOA/","4963.35"
"2019","7","PRODUCTO INTERNO BRUTO","609769.41"
"2019","7","BALANCE GLOBAL NETO / PIB (%)","-.81"
"2019","6","INGRESOS TOTALES","57311.75"
"2019","6","INGRESOS CORRIENTES","55822.56"
"2019","6","INGRESOS TRIBUTARIOS","53318.23"
"2019","6","D/C TASA DE SEGURIDAD","1373.8"
"2019","6","INGRESOS NO TRIBUTARIOS","2504.34"
"2019","6","D/C INGRESOS RECIBIDOS POR INTERESES (ENEE)","0"
"2019","6","INGRESOS POR APP","0"
"2019","6","DONACIONES","1489.19"
"2019","6","GASTO CORRIENTE","47132.22"
"2019","6","GASTO DE CONSUMO","28294.94"
"2019","6","SUELDOS Y SALARIOS","20075.98"
"2019","6","APORTES PATRONALES","2540.08"
"2019","6","BIENES Y SERVICIOS","5678.88"
