"Ano","Mes","Descripcion","Importe"
"2018","12","INGRESOS TOTALES","115913.12"
"2018","12","INGRESOS CORRIENTES","111807.91"
"2018","12","TRIBUTARIOS","103347.25"
"2018","12","DIRECTOS","36764.58"
"2018","12","RENTA","33450.76"
"2018","12","APORTE SOLIDARIO TEMPORAL","2601.36"
"2018","12","PROPIEDAD","434.69"
"2018","12","IMPUESTO AL ACTIVO NETO","277.78"
"2018","12","REVALUACIoN DE ACTIVOS","0"
"2018","12","INDIRECTOS","62081.16"
"2018","12","PRODUCCIoN","45511.86"
"2018","12","VENTAS","41562.25"
"2018","12","OTROS","3949.61"
"2018","12","SERVICIOS Y ACTIVIDADES ESPECIFICAS","16569.3"
"2018","12","APORTE VIAL Y GASTO SOCIAL","13061.31"
"2018","12","OTROS","3507.98"
"2018","12","COMERCIO EXTERIOR","4484.6"
"2018","12","IMPORTACIONES","4484.6"
"2018","12","EXPORTACIONES","0"
"2018","12","VARIOS","16.91"
"2018","12","TASA DE SEGURIDAD","2718.61"
"2018","12","ING. NO TRIBUTARIOS","5742.04"
"2018","12","TRANSFERENCIAS SECTOR  PuBLICO","85"
"2018","12","OTROS INGRESOS NO TRIBUTARIOS","5657.04"
"2018","12","D/C INGRESOS RECIBIDOS POR INTERESES (ENEE)","1041.24"
"2018","12","DONACIONES HIPC","2494.48"
"2018","12","DONACIONES","1610.73"
"2018","11","INGRESOS TOTALES","103968.61"
"2018","11","INGRESOS CORRIENTES","99866.62"
"2018","11","TRIBUTARIOS","92053.81"
"2018","11","DIRECTOS","31151.9"
"2018","11","RENTA","28434.4"
"2018","11","APORTE SOLIDARIO TEMPORAL","2057.3"
"2018","11","PROPIEDAD","389.3"
"2018","11","IMPUESTO AL ACTIVO NETO","270.9"
"2018","11","REVALUACIoN DE ACTIVOS","0"
"2018","11","INDIRECTOS","56806.36"
"2018","11","PRODUCCIoN","41795.4"
"2018","11","VENTAS","38183.14"
"2018","11","OTROS","3612.26"
"2018","11","SERVICIOS Y ACTIVIDADES ESPECIFICAS","15010.96"
"2018","11","APORTE VIAL Y GASTO SOCIAL","11952.42"
"2018","11","OTROS","3058.54"
"2018","11","COMERCIO EXTERIOR","4080.1"
"2018","11","IMPORTACIONES","4080.1"
"2018","11","EXPORTACIONES","0"
"2018","11","VARIOS","15.45"
"2018","11","TASA DE SEGURIDAD","2473.5"
"2018","11","ING. NO TRIBUTARIOS","5339.32"
"2018","11","TRANSFERENCIAS SECTOR  PuBLICO","85"
"2018","11","OTROS INGRESOS NO TRIBUTARIOS","5254.32"
"2018","11","INGRESOS RECIBIDOS POR INTERESES (ENEE)","1041.22"
"2018","11","DONACIONES HIPC","2063.57"
"2018","11","DONACIONES","997.2"
