"Ano","Mes","Descripcion","Monto","PIB"
"2016","1","INGRESOS Y DONACIONES","11873.9","2.4"
"2016","1","INGRESOS CORRIENTES","11826.7","2.4"
"2016","1","Ingresos Tributarios","6580.5","1.3"
"2016","1","Ingresos No Tributarios","634",".1"
"2016","1","Tasa de Seguridad","196.1","0"
"2016","1","Contribuciones para Pensiones y Seguro Social","1216.1",".2"
"2016","1","Ventas de Bienes y Servicios","2297.7",".5"
"2016","1","Intereses y Dividendos","684.3",".1"
"2016","1","Transferencias Corrientes","0","0"
"2016","1","Otros","218.1","0"
"2016","1","DONACIONES","10.9","0"
"2016","1","INGRESOS DE CAPITAL","36.2","0"
"2016","1","Ingresos","24.5","0"
"2016","1","Transferencias de Capital","11.7","0"
"2016","1","GASTOS","9983.2","2"
"2016","1","GASTOS CORRIENTES","8432.2","1.7"
"2016","1","Sueldos y Salarios","4137.4",".8"
"2016","1","Compra de Bienes y Servicios","2322.5",".5"
"2016","1","Intereses Pagados","802",".2"
"2016","1","Transferencias Corrientes","1140.7",".2"
"2016","1","Otros Gastos Corrientes","29.6","0"
"2016","1","GASTOS DE CAPITAL","1551.1",".3"
"2016","1","Inversion Real","517.4",".1"
"2016","1","Variacion de Inventarios","294.6",".1"
"2016","1","Otros Gastos de Capital","103.5","0"
"2016","1","Transferencias de Capital","635.6",".1"
"2016","1","BALANCE GLOBAL NETO","1890.6",".4"
"2016","1","FINANCIAMIENTO","-1890.6","-.4"
"2016","2","INGRESOS Y DONACIONES","22210.4","4.5"
"2016","2","INGRESOS CORRIENTES","21789.9","4.4"
"2016","2","Ingresos Tributarios","12542.4","2.5"
"2016","2","Ingresos No Tributarios","1259.9",".3"
"2016","2","Tasa de Seguridad","379.7",".1"
"2016","2","Contribuciones para Pensiones y Seguro Social","2402",".5"
"2016","2","Ventas de Bienes y Servicios","3959.2",".8"
"2016","2","Intereses y Dividendos","825",".2"
"2016","2","Transferencias Corrientes","1.4","0"
"2016","2","Otros","420.2",".1"
"2016","2","DONACIONES","358.7",".1"
"2016","2","INGRESOS DE CAPITAL","61.8","0"
"2016","2","Ingresos","57.3","0"
"2016","2","Transferencias de Capital","4.5","0"
"2016","2","GASTOS","18949.6","3.9"
"2016","2","GASTOS CORRIENTES","16127.6","3.3"
"2016","2","Sueldos y Salarios","7768.2","1.6"
"2016","2","Compra de Bienes y Servicios","4799","1"
"2016","2","Intereses Pagados","982.9",".2"
"2016","2","Transferencias Corrientes","2542.8",".5"
"2016","2","Otros Gastos Corrientes","34.6","0"
"2016","2","GASTOS DE CAPITAL","2822",".6"
"2016","2","Inversion Real","1129.8",".2"
"2016","2","Variacion de Inventarios","303.5",".1"
"2016","2","Otros Gastos de Capital","210.2","0"
"2016","2","Transferencias de Capital","1178.4",".2"
"2016","2","BALANCE GLOBAL NETO","3260.8",".7"
"2016","2","FINANCIAMIENTO","-3260.8","-.7"
"2016","3","INGRESOS Y DONACIONES","33895","6.9"
"2016","3","INGRESOS CORRIENTES","33387.5","6.8"
