"Ano","Mes","Descripcion","Monto","PIB"
"2019","1","INGRESOS Y DONACIONES","14968.76","2.44"
"2019","1","INGRESOS CORRIENTES","14691.02","2.39"
"2019","1","Ingresos Tributarios","8217.87","1.34"
"2019","1","d/c Tasa de Seguridad","245.35","0"
"2019","1","Ingresos No Tributarios","748.6",".12"
"2019","1","Contribuciones para Pensiones y Seguro Social","1590.55",".26"
"2019","1","Ventas de Bienes y Servicios","2575.28",".42"
"2019","1","Intereses y Dividendos","1140.95",".19"
"2019","1","Transferencias Corrientes","128.98",".02"
"2019","1","Otros","288.78",".05"
"2019","1","DONACIONES","217.34",".04"
"2019","1","INGRESOS DE CAPITAL","60.4",".01"
"2019","1","Ingresos","55.31",".01"
"2019","1","Transferencias de Capital","5.09","0"
"2019","1","GASTOS","11276.99","1.84"
"2019","1","GASTOS CORRIENTES","9625.12","1.57"
"2019","1","Sueldos y Salarios","4363.89",".71"
"2019","1","Compra de Bienes y Servicios","2928.33",".48"
"2019","1","Intereses Pagados","984.85",".16"
"2019","1","Transferencias Corrientes","1328.47",".22"
"2019","1","Otros Gastos Corrientes","19.57","0"
"2019","1","GASTOS DE CAPITAL","1651.87",".27"
"2019","1","Inversion Real","634.65",".1"
"2019","1","Variacion de Inventarios","174.58",".03"
"2019","1","Otros Gastos de Capital","53",".01"
"2019","1","Transferencias de Capital","789.64",".13"
"2019","1","BALANCE GLOBAL NETO","3691.77",".6"
"2019","1","FINANCIAMIENTO","-3691.77","-.6"
"2019","2","INGRESOS Y DONACIONES","27473.83","4.48"
"2019","2","INGRESOS CORRIENTES","27025.85","4.4"
"2019","2","Ingresos Tributarios","15037.51","2.45"
"2019","2","d/c Tasa de Seguridad","485.54","0"
"2019","2","Ingresos No Tributarios","1210.52",".2"
"2019","2","Contribuciones para Pensiones y Seguro Social","3235.61",".53"
"2019","2","Ventas de Bienes y Servicios","5100.53",".83"
"2019","2","Intereses y Dividendos","1705.4",".28"
"2019","2","Transferencias Corrientes","211.43",".03"
"2019","2","Otros","524.85",".09"
"2019","2","DONACIONES","345.98",".06"
"2019","2","INGRESOS DE CAPITAL","102",".02"
"2019","2","Ingresos","91.83",".01"
"2019","2","Transferencias de Capital","10.18","0"
"2019","2","GASTOS","24572.03","4"
"2019","2","GASTOS CORRIENTES","20898.13","3.41"
"2019","2","Sueldos y Salarios","9086.56","1.48"
"2019","2","Compra de Bienes y Servicios","6897.5","1.12"
"2019","2","Intereses Pagados","2118.31",".35"
"2019","2","Transferencias Corrientes","2759.96",".45"
"2019","2","Otros Gastos Corrientes","35.81",".01"
"2019","2","GASTOS DE CAPITAL","3673.9",".6"
"2019","2","Inversion Real","1897.87",".31"
"2019","2","Variacion de Inventarios","188.08",".03"
"2019","2","Otros Gastos de Capital","126.92",".02"
"2019","2","Transferencias de Capital","1461.03",".24"
"2019","2","BALANCE GLOBAL NETO","2901.8",".47"
"2019","2","FINANCIAMIENTO","-2901.8","-.47"
"2019","3","INGRESOS Y DONACIONES","41103.55","6.7"
"2019","3","INGRESOS CORRIENTES","40298.88","6.57"
"2019","3","Ingresos Tributarios","22313.59","3.64"
"2019","3","d/c Tasa de Seguridad","708.73","0"
"2019","3","Ingresos No Tributarios","1645.6",".27"
"2019","3","Contribuciones para Pensiones y Seguro Social","4943.41",".81"
"2019","3","Ventas de Bienes y Servicios","7967.23","1.3"
"2019","3","Intereses y Dividendos","2355.48",".38"
"2019","3","Transferencias Corrientes","291.28",".05"
"2019","3","Otros","782.28",".13"
"2019","3","DONACIONES","701.36",".11"
"2019","3","INGRESOS DE CAPITAL","103.31",".02"
"2019","3","Ingresos","93.13",".02"
"2019","3","Transferencias de Capital","10.18","0"
"2019","3","GASTOS","40590.73","6.62"
"2019","3","GASTOS CORRIENTES","33415.68","5.45"
"2019","3","Sueldos y Salarios","14324.71","2.33"
"2019","3","Compra de Bienes y Servicios","10953.03","1.79"
"2019","3","Intereses Pagados","3330.59",".54"
"2019","3","Transferencias Corrientes","4610.77",".75"
"2019","3","Otros Gastos Corrientes","196.58",".03"
"2019","3","GASTOS DE CAPITAL","7175.05","1.17"
"2019","3","Inversion Real","4461.94",".73"
"2019","3","Variacion de Inventarios","109.58",".02"
"2019","3","Otros Gastos de Capital","181.21",".03"
"2019","3","Transferencias de Capital","2422.31",".39"
"2019","3","BALANCE GLOBAL NETO","512.82",".08"
"2019","3","FINANCIAMIENTO","-512.82","-.08"
"2019","4","INGRESOS Y DONACIONES","62078.41","10.12"
"2019","4","INGRESOS CORRIENTES","60924.25","9.93"
"2019","4","Ingresos Tributarios","35955.13","5.86"
"2019","4","d/c Tasa de Seguridad","941.94","0"
"2019","4","Ingresos No Tributarios","2142.91",".35"
"2019","4","Contribuciones para Pensiones y Seguro Social","6688.95","1.09"
"2019","4","Ventas de Bienes y Servicios","10882.06","1.77"
"2019","4","Intereses y Dividendos","3873.23",".63"
"2019","4","Transferencias Corrientes","375.71",".06"
"2019","4","Otros","1006.26",".16"
"2019","4","DONACIONES","1050.32",".17"
"2019","4","INGRESOS DE CAPITAL","103.84",".02"
"2019","4","Ingresos","93.67",".02"
"2019","4","Transferencias de Capital","10.18","0"
