Numero,Departamento,Nombre,Codigo Municipal,Shape_Area,Km2,Densidad,Indice de Riesgo Municipal
1,Atlantida,La Ceiba,0101,654383270.91,654.38,194.98,5.40
2,Atlantida,Esparta,0103,460429563.71,460.43,33.63,5.20
3,Atlantida,Jutiapa,0104,532379570.86,532.38,51.60,6.00
4,Atlantida,La Masica,0105,468438097.62,468.44,48.42,5.10
5,Atlantida,San Francisco,0106,282270541.05,282.27,37.85,4.70
6,Atlantida,Tela,0107,1156445357.76,1156.45,66.61,6.00
7,Atlantida,Arizona,0108,530802009.33,530.80,37.04,5.60
8,Colon,Trujillo,0201,955152386.81,955.15,45.49,4.30
9,Colon,Balfate,0202,332907595.60,332.91,31.79,5.20
10,Colon,Iriona,0203,3858210012.90,3858.21,4.31,5.80
11,Colon,Limon,0204,615252120.57,615.25,13.54,6.70
12,Colon,Saba,0205,370871007.16,370.87,51.95,5.70
13,Colon,Santa Fe,0206,207884501.71,207.89,26.95,5.90
14,Colon,Santa Rosa de Aguan,0207,136101392.65,136.10,27.82,4.70
15,Colon,Sonaguera,0208,402767060.11,402.77,85.09,5.20
16,Colon,Tocoa,0209,887789168.38,887.79,59.91,6.60
17,Colon,Bonito Oriental,0210,509394804.23,509.40,45.75,7.10
18,Comayagua,Comayagua,0301,834220736.80,834.22,104.86,5.80
19,Comayagua,Ajuterique,0302,61666855.27,61.67,145.39,5.40
20,Comayagua,El Rosario,0303,297550279.73,297.55,69.28,7.40
21,Comayagua,Esquias,0304,389120726.77,389.12,36.86,6.80
22,Comayagua,Humuya,0305,54193037.26,54.19,19.28,5.80
23,Comayagua,La Libertad,0306,320558675.77,320.56,55.06,6.60
24,Comayagua,Lamani,0307,307098842.50,307.10,16.15,5.20
25,Comayagua,La Trinidad,0308,85340649.18,85.34,42.88,6.00
26,Comayagua,Lejamani,0309,22520352.89,22.52,178.86,3.10
27,Comayagua,Meambar,0310,409688811.84,409.69,24.18,6.70
28,Comayagua,Minas de Oro,0311,392568251.30,392.57,26.94,4.50
29,Comayagua,Ojos de Agua,0312,172217586.60,172.22,48.87,5.00
30,Comayagua,San Jeronimo,0313,227653276.20,227.65,64.18,6.00
31,Comayagua,San Jose de Comayagua,0314,78835199.74,78.84,75.40,6.50
32,Comayagua,San Jose del Potrero,0315,198348199.13,198.35,26.71,3.90
33,Comayagua,San Luis,0316,122966492.69,122.97,58.56,6.30
34,Comayagua,San Sebastian,0317,97146259.91,97.15,27.90,6.00
35,Comayagua,Siguatepeque,0318,392183594.61,392.18,153.39,5.60
36,Comayagua,Villa de San Antonio,0319,342180899.96,342.18,48.97,5.90
37,Comayagua,Las Lajas,0320,95088676.42,95.09,89.81,3.80
38,Comayagua,Taulabe,0321,219628454.42,219.63,88.61,7.00
39,Copan,Santa Rosa de Copan,0401,306308645.18,306.31,121.81,5.80
40,Copan,Cabana,0402,128008100.60,128.01,76.26,6.80
41,Copan,Concepción,0403,73029814.53,73.03,74.02,6.70
42,Copan,Copan Ruinas,0404,360651940.83,360.65,81.46,7.50
43,Copan,Corquin,0405,138617656.79,138.62,77.01,4.70
44,Copan,Cucuyagua,0406,136129326.17,136.13,83.73,6.10
45,Copan,Dolores,0407,47614812.60,47.61,103.04,4.50
46,Copan,Dulce Nombre,0408,28358538.58,28.36,158.01,4.50
47,Copan,El Paraiso,0409,256962175.15,256.96,70.26,5.40
48,Copan,Florida,0410,342023050.76,342.02,73.04,7.10
49,Copan,La Jigua,0411,112883847.48,112.88,69.16,4.20
50,Copan,La Union,0412,218286090.69,218.29,52.23,6.00
51,Copan,Nueva Arcadia,0413,147577174.61,147.58,186.76,5.20
52,Copan,San Agustin,0414,69477962.93,69.48,48.92,6.90
53,Copan,San Antonio,0415,118682213.25,118.68,79.75,5.40
54,Copan,San Jeronimo,0416,70364069.88,70.36,64.37,6.00
55,Copan,San Jose,0417,52025581.62,52.03,101.01,5.40
56,Copan,San Juan de Opoa,0418,75152286.37,75.15,98.56,6.30
57,Copan,San Nicolas,0419,75102647.51,75.10,76.43,4.40
58,Copan,San Pedro,0420,60150014.01,60.15,84.90,6.00
59,Copan,Santa Rita,0421,314099234.10,314.10,75.69,7.30
60,Copan,Trinidad de Copan,0422,74399192.33,74.40,76.09,4.10
61,Copan,Veracruz,0423,33756626.13,33.76,77.73,6.00
62,Cortes,San Pedro Sula,0501,856254168.41,856.25,601.99,5.20
63,Cortes,Choloma,0502,466699770.18,466.70,325.69,5.30
64,Cortes,Omoa,0503,393694833.94,393.70,76.58,6.70
65,Cortes,Pimienta,0504,55415901.89,55.42,224.86,4.40
66,Cortes,Potrerillos,0505,99433096.62,99.43,178.29,5.40
67,Cortes,Puerto Cortes,0506,383342102.62,383.34,235.20,5.50
68,Cortes,San Antonio de Cortes,0507,221078297.74,221.08,86.66,4.80
69,Cortes,San Francisco de Yojoa,0508,98649980.67,98.65,141.59,4.20
70,Cortes,San Manuel,0509,141379277.46,141.38,217.43,4.80
71,Cortes,Villanueva,0511,349291832.50,349.29,230.93,5.00
72,Cortes,La Lima,0512,112220759.15,112.22,477.58,4.80
73,Choluteca,Choluteca,0601,1071942860.59,1071.94,112.68,6.00
74,Choluteca,Apacilagua,0602,228499145.75,228.50,39.19,7.10
75,Choluteca,Concepcion de Maria,0603,167724829.96,167.73,145.51,5.80
76,Choluteca,Duyure,0604,104169564.08,104.17,26.43,5.40
77,Choluteca,El Corpus,0605,248873503.85,248.87,87.82,5.80
78,Choluteca,El Triunfo,0606,306886047.02,306.89,116.75,6.40
79,Choluteca,Marcovia,0607,487468140.02,487.47,77.59,6.00
80,Choluteca,Morolica,0608,275490787.16,275.49,18.28,6.40
81,Choluteca,Namasigue,0609,216759556.97,216.76,116.00,5.10
82,Choluteca,Orocuina,0610,125171523.27,125.17,127.42,6.10
83,Choluteca,Pespire,0611,324796559.11,324.80,71.84,6.20
84,Choluteca,San Antonio de Flores,0612,54650780.92,54.65,97.89,5.50
85,Choluteca,San Isidro,0613,71808030.10,71.81,47.13,6.20
86,Choluteca,San Jose,0614,63295099.50,63.30,53.67,6.40
87,Choluteca,San Marcos de Colon,0615,578100484.61,578.10,35.45,5.30
88,Choluteca,Santa Ana de Yusguare,0616,71922553.76,71.92,141.63,5.10
89,El Paraiso,Yuscaran,0701,331967701.79,331.97,34.29,4.20
90,El Paraiso,Alauca,0702,197483377.97,197.48,39.90,5.50
91,El Paraiso,Danli,0703,2517924593.32,2517.92,53.67,6.60
92,El Paraiso,El Paraiso,0704,356176778.14,356.18,97.29,4.90
93,El Paraiso,Guinope,0705,200752804.47,200.75,34.55,3.30
94,El Paraiso,Jacaleapa,0706,112216234.30,112.22,29.04,4.50
95,El Paraiso,Liure,0707,89286686.51,89.29,108.72,6.50
96,El Paraiso,Moroceli,0708,362827639.29,362.83,32.99,5.90
97,El Paraiso,Oropoli,0709,168297135.54,168.30,31.34,5.10
98,El Paraiso,Potrerillos,0710,130432587.16,130.43,23.34,2.60
99,El Paraiso,San Antonio de Flores,0711,146161142.42,146.16,32.68,5.50
100,El Paraiso,San Lucas,0712,126797394.83,126.80,54.02,5.60
101,El Paraiso,San Matias,0713,115904962.97,115.91,35.37,2.40
102,El Paraiso,Soledad,0714,157473479.85,157.47,60.59,6.30
103,El Paraiso,Teupasenti,0715,668194429.93,668.19,44.18,6.30
104,El Paraiso,Texiguat,0716,186348184.65,186.35,43.51,6.80
105,El Paraiso,Vado Ancho,0717,67794418.73,67.79,53.04,6.20
106,El Paraiso,Yauyupe,0718,64794291.96,64.79,20.67,4.90
107,El Paraiso,Trojes,0719,1383012792.83,1383.01,24.79,6.90
108,Francisco Morazan,Distrito Central,0801,1501625885.42,1501.63,566.20,5.30
109,Francisco Morazan,Alubaren,0802,46255899.39,46.26,107.08,6.40
110,Francisco Morazan,Cedros,0803,780379254.43,780.38,22.71,5.00
111,Francisco Morazan,Curaren,0804,307640146.35,307.64,55.47,6.90
112,Francisco Morazan,El Porvenir,0805,415710586.55,415.71,34.12,5.20
113,Francisco Morazan,Guaimaca,0806,780209760.08,780.21,26.65,6.20
114,Francisco Morazan,La Libertad,0807,38869245.61,38.87,69.00,5.90
115,Francisco Morazan,La Venta,0808,126333692.09,126.33,45.28,5.40
116,Francisco Morazan,Lepaterique,0809,566545394.20,566.55,23.67,7.30
117,Francisco Morazan,Maraita,0810,263279189.43,263.28,20.94,4.10
118,Francisco Morazan,Marale,0811,402297350.56,402.30,17.29,5.90
119,Francisco Morazan,Nueva Armenia,0812,181991498.58,181.99,13.00,3.40
120,Francisco Morazan,Ojojona,0813,240868012.36,240.87,33.48,5.40
121,Francisco Morazan,Orica,0814,398947652.13,398.95,26.51,5.10
122,Francisco Morazan,Reitoca,0815,194416371.46,194.42,48.70,6.70
123,Francisco Morazan,Sabanagrande,0816,242453641.80,242.45,63.69,4.90
124,Francisco Morazan,San Antonio de Oriente,0817,211232808.82,211.23,57.11,3.60
125,Francisco Morazan,San Buenaventura,0818,62266608.42,62.27,31.25,3.90
126,Francisco Morazan,San Ignacio,0819,331043080.01,331.04,21.49,4.80
127,Francisco Morazan,San Juan de Flores,0820,380165340.61,380.17,27.26,5.80
128,Francisco Morazan,San Miguelito,0821,42428454.17,42.43,44.88,5.50
129,Francisco Morazan,Santa Ana,0822,95502157.64,95.50,89.52,2.70
