;REPORTE DE LICENCIAS AMBIENTALES EMITIDAS POR LA SECRETARÍA DE RECURSOS NATURALES Y AMBIENTE MIAMBIENTE+ OCTUBRE AL 5 DICIEMBRE 2019;;;;;
No.;Numero de Expediente;Nombre de Proyecto;Tipo de Licencia Operativa/Funcional;Fecha de Emision de Licencia;Ubicacion;Sector 
1;SLAS-0000411-2019;Fomentando la competitividad de pequeños productores por medio del fortalecimiento del consorcio de exportación para cadenas de hortalizas y frutas de alto valor en el sur de Honduras;Operativa;29/10/2019;Choluteca;Agropecuario
2;SLAS-0000413-2019;Centro de acopio de cafe UNIOCASMO;Operativa;30/10/2019;Ocotepeque;Agropecuario
3;SLAS-0000184-2019;Beneficio humedo y seco para cafe;Operativa;30/10/2019;El Paraiso;Agropecuario
4;SLAS-0000415-2019;Rehabilitacion y Apertura de Carretera de Tierra: Las Cuevas  La Joya  El Taz y Gavilan (Chichigua) ;Operativa;31/10/2019;Francisco Morazan ;Infraestructura 
5;SLAS-0000414-2019;Relleno Sanitatio Manual;Operativa;31/10/2019;Valle;Saneamiento
6;SLAS-0000417-2019;5 Start Apparel  S. de R.L. ;Operativa;31/10/2019;Cortes;Industrial 
7;SLAS-0000416-2019;Central America spinning Works  (CASW);Operativa;31/10/2019;Cortes ;Infraestructura 
8;SLAS-0000420-2019;AZUR;Operativa;4/11/2019;Valle;Infreaestructura
9;SLAS-0000421-2019;Industria Forestal Jose;Operativa;5/11/2019;Francisco Morazan;Forestal 
10;SLAS-0000423-2019;Pequeña mineria No Metalica denominada El Pichon;Operativa;8/11/2019;Cortes;Minero
11;SLAS-0000424-2019;Urbanizacion Los Mangos;Operativa;8/11/2019;La Paz;Infraestructura 
12;SLAS-000427-2019;Clinica denominada Ashonplafa Danli;Operativa;8/11/2019;El Paraiso ;Infraestructura 
13;SLAS-0000426-2019;Clinica denominada Ashonplafa Comayagua;Operativa;8/11/2019;Comayagua;Infraestructura 
14;SLAS-0000433-2019;Clinica denominada Ashonplafa Marcala;Operativa;8/11/2019;La Paz;Infraestructura 
15;SLAS-0000428-2019;Alcantarillado sanitario y planta de tratamiento colonia villa alicia;Operativa;8/11/2019;Intibuca;Saneamiento
16;SLAS-0000425-2019;Planta DA-GAS Choluteca 1;Operativa;8/11/2019;Choluteca;Petroleo  Gas e Hidrocarburo 
17;SLAS-0000422-2019;Construccion de cementerio comunidad de azacualpa;Operativa;5/11/2019;Copan;Infreaestructura
18;SLAS-0000430-2019;Rehabilitacion de caminos rurales tercearios tramos que comprende del relleno sanitario al empalme desvio a la comunidad de camalaote-canpuca;Operativa;8/11/2019;Lempira;Infraestructura 
19;SLAS-0000432-2019;Residencial Monteliz;Operativa;8/11/2019;El Paraiso ;Infraestructura 
20;SLAS-0000431-2019;Valle de Tencoa;Operativa;8/11/2019;Santa Barbara;Minero
21;SLAS-0000435-2019;Construccion de Planta de Tratamiento de Aguas Residuales y Alcantarillado Sanitario;Operativa;8/11/2019;Choluteca ;Saneamiento 
22;SLAS-0000437-2019;Lotificación Mirador Alto Verde;Operativa;12/11/2019;Distrito Central;Infraestructura
23;SLAS-0000438-2019;Estación de servicio El Golfo Puma;Operativa;12/11/2019;Choluteca ;Petroleo  Gas e Hidrocarburo
24;SLAS-0000436-2019;Residencial Lomas de San Francisco;Operativa;12/11/2019;Choluteca ;Infraestructura
25;SLAS-0000441-2019;Grupo Logistico de Carga;Operativa;18/11/2019;Cortes;Infraestructura
26;SLAS-0000443-2019;Almacen Grupo Logistico de carga bufalo/villanueva;Operativa;18/11/2019;Cortes;Infraestructura
27;SLAS-0000445-2019;II Etapa Creacion de Mothivo en los niveles basica  media y polideportivo;Operativa;18/11/2019;Cortes;Infraestructura
28;SLAS-0000442-2019;Lotificacion Los Llanos de Don Silas;Operativa;18/11/2019;Choluteca ;Infraestructura
