Region Forestal,Plantaciones certificadas,Regeneracion natural certificadas,Cantidad de plantas en plantacion,Cantidad de plantas en regeneracion natural,Plantacion en bloques (ha),Regeneracion natural en bloques,Plantacion en lindros (Km)
Atlantida,25,1,14075,753850,262,152,1.07
Comayagua,4,2,2404,4002187,12,1068,0
El Paraiso,28,3,22882,3480577,231,1303,0
Francisco Morazan,7,9,769953,6716863,609,2014,0
La Mosquitia,0,2,0,1197608,0,3225,0
Noreste de Olancho,0,2,0,8063525,0,706,0
Noroccidente,11,2,48884,1023329,229,337,4.03
Occidente,22,0,16773,0,238,0,0
Olancho,16,4,29616,8111807,53,2019,0
El Pacifico,1,0,1500,0,10,0,0
Rio Platano,1,0,134,0,2,0,0
Yoro,8,4,157927,6400640,148,1953,0.11
